Date,TTF,Brent,EURUSD,Storage_pct
2017-10-23,18.09,57.69,1.1762,88.37
2017-10-24,17.96,57.84,1.1766,88.46
2017-10-25,18.11,58.45,1.1802,88.59
2017-10-26,18.07,58.75,1.17,88.65
2017-10-27,18.15,60.15,1.158,88.72
2017-10-30,18.11,60.65,1.1626,88.95
2017-10-31,18.285,61.35,1.1648,88.87
2017-11-01,18.55,60.98,1.1618,88.83
2017-11-02,18.58,60.79,1.1672,88.71
2017-11-03,18.31,61.42,1.1616,88.65
2017-11-06,19.01,64.27,1.16,88.43
2017-11-07,19.325,64.36,1.1577,88.15
2017-11-08,19.38,63.96,1.1591,87.84
2017-11-09,19.515,64.49,1.1648,87.65
2017-11-10,19.82,64.35,1.1648,87.4
2017-11-13,19.905,62.94,1.1656,86.81
2017-11-14,19.335,60.91,1.1764,86.35
2017-11-15,19.015,61.25,1.1794,85.97
2017-11-16,19.2,61.18,1.1772,85.64
2017-11-17,18.95,61.34,1.1799,85.28
2017-11-20,19.5,61.34,1.1741,84.35
2017-11-21,19.84,62.28,1.1741,84.01
2017-11-22,19.7,62.92,1.1789,83.76
2017-11-24,20.455,63.58,1.1936,83.11
2017-11-27,20.68,63.25,1.1911,82.07
2017-11-28,20.28,63.56,1.1878,81.52
2017-11-29,20.35,63.74,1.1858,80.9
2017-11-30,20.305,63.53,1.1898,80.01
2017-12-01,20.79,64.57,1.191,79.36
2017-12-04,21.375,63.45,1.1848,77.7
2017-12-05,21.405,63.45,1.182,77.15
2017-12-06,21.165,62.25,1.1788,76.62
2017-12-07,21.265,62.37,1.179,76.03
2017-12-08,20.89,63.86,1.1761,75.47
2017-12-11,21.135,65.62,1.1802,73.62
2017-12-12,21.73,64.96,1.1725,72.79
2017-12-13,20.675,63.66,1.1762,72.04
2017-12-14,21.025,63.72,1.1778,71.41
2017-12-15,21.01,63.81,1.1778,70.88
2017-12-18,20.46,64.45,1.1804,69.08
2017-12-19,19.95,63.69,1.1822,68.34
2017-12-20,20.295,64.43,1.1881,67.66
2017-12-21,20,64.64,1.1872,67.1
2017-12-22,19.665,64.61,1.1839,66.6
2017-12-26,19.665,64.61,1.1867,65.78
2017-12-27,19.19,66.03,1.1902,65.42
2017-12-28,19.705,66.8,1.1952,64.95
2017-12-29,19.62,66.73,1.2022,64.51
2018-01-02,19.32,66.65,1.205,63.7
2018-01-03,19.325,67.85,1.203,63.33
2018-01-04,19.2,68.73,1.2064,62.99
2018-01-05,18.915,68.01,1.2039,62.65
2018-01-08,19.05,68.48,1.1973,61.36
2018-01-09,19.435,69.08,1.1922,60.77
2018-01-10,19.325,69.79,1.1958,60.22
2018-01-11,19.32,70.36,1.2035,59.64
2018-01-12,19.805,69.64,1.213,59.08
2018-01-16,18.9,69.4,1.2244,56.84
2018-01-17,18.44,69.19,1.2229,56.15
2018-01-18,18.35,69.48,1.2238,55.47
2018-01-19,18.19,68.56,1.2238,54.78
2018-01-22,18.545,69.32,1.223,53.09
2018-01-23,18.2,69.81,1.2277,52.57
2018-01-24,17.79,69.91,1.239,52.12
2018-01-25,17.78,71.08,1.2488,51.56
2018-01-26,17.78,70.08,1.2422,50.99
2018-01-29,17.395,68.41,1.2352,49.89
2018-01-30,17.41,67.78,1.239,49.36
2018-01-31,17.88,67.78,1.2428,48.83
2018-02-01,18.15,68.6,1.2482,48.27
2018-02-02,18.16,67.45,1.2446,47.68
2018-02-05,17.59,67.69,1.2418,45.79
2018-02-06,17.88,66.75,1.2381,44.91
2018-02-07,18.155,65.74,1.2281,44.02
2018-02-08,17.74,64.26,1.2238,43.16
2018-02-09,17.9,63.04,1.2226,42.38
2018-02-12,17.95,62.2,1.2267,40.65
2018-02-13,18.305,61.94,1.2363,39.92
2018-02-14,18.075,62.29,1.2396,39.25
2018-02-15,17.79,62.86,1.2482,38.61
2018-02-16,18.165,64.3,1.2442,38.02
2018-02-20,19.77,64.68,1.2348,35.68
2018-02-21,19.78,64.81,1.2314,34.94
2018-02-22,19.94,66.12,1.2326,34.16
2018-02-23,20.41,67.04,1.2298,33.39
2018-02-26,18.69,67.96,1.2296,30.99
2018-02-27,19.195,67.59,1.2239,29.97
2018-02-28,17.35,66.08,1.2211,28.89
2018-03-01,17.56,64.23,1.2216,27.92
2018-03-02,17.805,64.26,1.2314,27.01
2018-03-05,17.515,65.78,1.233,25.16
2018-03-06,17.7,65.67,1.2415,24.65
2018-03-07,17.83,65.09,1.2397,23.75
2018-03-08,18.315,63.87,1.2314,23.69
2018-03-09,18.94,65.19,1.2326,23.35
2018-03-12,19.71,64.53,1.2318,22.96
2018-03-13,19.465,64.2,1.2398,22.74
2018-03-14,18.615,63.61,1.2362,22.53
2018-03-15,18.8,63.67,1.2321,22.29
2018-03-16,18.655,64.68,1.228,22.06
2018-03-19,18.7,64.82,1.2329,20.68
2018-03-20,19.175,66,1.2271,20.15
2018-03-21,19.39,68.15,1.2268,19.65
2018-03-22,19.01,68.98,1.231,19.2
2018-03-23,18.445,69.03,1.236,18.84
2018-03-26,17.99,68.81,1.244,18.38
2018-03-27,18.495,68.63,1.241,18.13
2018-03-28,18.37,68.13,1.2351,17.92
2018-03-29,18.225,69.02,1.2297,17.75
2018-04-02,18.225,69.02,1.2288,18.47
2018-04-03,18.04,69.02,1.2261,18.52
2018-04-04,18.185,66.04,1.2292,18.69
2018-04-05,18.13,66.54,1.223,18.7
2018-04-06,18.18,66.51,1.2274,18.8
2018-04-09,18.645,68.19,1.232,18.64
2018-04-10,18.84,70.67,1.2338,18.75
2018-04-11,19.255,72.74,1.2384,18.84
2018-04-12,19.215,71.44,1.232,18.91
2018-04-13,19.57,73.18,1.2322,19.03
2018-04-16,19.35,72.05,1.2373,19.88
2018-04-17,19.015,71.71,1.2345,20.15
2018-04-18,19.31,73.73,1.238,20.52
2018-04-19,19.86,74.85,1.2336,20.89
2018-04-20,19.8,74.62,1.2282,21.28
2018-04-23,19.89,74.54,1.2216,22.69
2018-04-24,19.675,75.86,1.2226,22.99
2018-04-25,19.88,73.79,1.2178,23.33
2018-04-26,20.15,75.39,1.2113,23.66
2018-04-27,20.265,75.33,1.2108,23.97
2018-04-30,20.56,75.92,1.2074,25.07
2018-05-01,20.095,74.85,1.2,25.51
2018-05-02,19.865,73.14,1.1968,25.72
2018-05-03,19.95,73.45,1.197,26.01
2018-05-04,20.42,74.75,1.1946,26.2
2018-05-07,20.42,74.75,1.1927,27.4
2018-05-08,20.6,74.16,1.1863,27.81
2018-05-09,20.845,77.6,1.1852,28.21
2018-05-10,21.005,77.59,1.1896,28.64
2018-05-11,21.265,77.37,1.1951,29.09
2018-05-14,21.625,78.17,1.1976,30.43
2018-05-15,21.54,78.94,1.1864,30.81
2018-05-16,21.67,78.19,1.1788,31.19
2018-05-17,22.3,80.09,1.1798,31.56
2018-05-18,22.055,78.38,1.1775,31.9
2018-05-21,22.375,78.34,1.1768,33.29
2018-05-22,22.905,80.42,1.1783,33.6
2018-05-23,22.715,78.69,1.1693,33.99
2018-05-24,22.695,78.9,1.1729,34.41
2018-05-25,21.805,76.6,1.1666,34.83
2018-05-29,22.655,74.51,1.1551,36.58
2018-05-30,22.985,75.89,1.1664,36.93
2018-05-31,22.58,76.45,1.167,37.26
2018-06-01,21.775,74.54,1.1679,37.57
2018-06-04,21.905,73.41,1.1696,38.85
2018-06-05,21.43,72.91,1.1672,39.14
2018-06-06,21.32,73.23,1.1778,39.46
2018-06-07,21.665,75.23,1.1815,39.78
2018-06-08,21.54,75.11,1.1773,40.13
2018-06-11,21.35,74.58,1.1802,41.44
2018-06-12,21.785,74.86,1.1792,41.78
2018-06-13,22.38,75.07,1.1784,42.18
