"Status";"Gas Day Start (status at 6AM  CEST)";"Gas Day End";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"C";"2024-11-24";"2024-11-25";"1006.5843";"87.7";"-0.2";"1001.01";"3266.8";"1147.8226";"11716.74";"19894.27";"1043.5686";"78.204"
"C";"2024-11-23";"2024-11-24";"1008.9186";"87.9";"-0.39";"369.27";"4782.6";"1147.8226";"11716.28";"19895.49";"1043.5686";"77.6442"
"C";"2024-11-22";"2024-11-23";"1013.3609";"88.29";"-0.56";"155.18";"6517";"1147.8226";"11715.42";"19897.74";"1043.4886";"77.1478"
"C";"2024-11-21";"2024-11-22";"1019.7397";"88.84";"-0.57";"95.35";"6511.8";"1147.8226";"11690.87";"19899.22";"1043.4883";"76.555"
"C";"2024-11-20";"2024-11-21";"1026.2251";"89.41";"-0.45";"144.71";"5429.9";"1147.8226";"11689.74";"19902.19";"1043.4892";"75.9775"
"E";"2024-11-19";"2024-11-20";"1031.3818";"89.86";"-0.44";"172.99";"5220.3";"1147.7026";"11689.11";"19905.85";"1043.3691";"75.3873"
"C";"2024-11-18";"2024-11-19";"1036.433";"90.31";"-0.44";"92.94";"5078.6";"1147.7026";"11688.6";"19907.2";"1043.4488";"74.6593"
"C";"2024-11-17";"2024-11-18";"1041.4584";"90.74";"-0.26";"309.92";"3330.7";"1147.7026";"11688.38";"19907.78";"1043.4493";"74.0275"
"E";"2024-11-16";"2024-11-17";"1044.4619";"91";"-0.26";"330.68";"3292.2";"1147.7026";"11688.19";"19908.27";"1043.4498";"73.3997"
"C";"2024-11-15";"2024-11-16";"1047.4951";"91.27";"-0.4";"188.17";"4768.8";"1147.7026";"11687.89";"19909.07";"1043.4039";"72.8144"
"E";"2024-11-14";"2024-11-15";"1052.0301";"91.66";"-0.44";"159.6";"5159.3";"1147.7026";"11688.81";"19906.65";"1043.4037";"72.1681"
"C";"2024-11-13";"2024-11-14";"1057.0316";"92.1";"-0.48";"114.33";"5630.3";"1147.7026";"11688.12";"19908.46";"1043.4036";"71.6059"
"C";"2024-11-12";"2024-11-13";"1062.5534";"92.58";"-0.46";"101.29";"5035.8";"1147.7026";"11687.13";"19911.07";"1043.5777";"70.7652"
"C";"2024-11-11";"2024-11-12";"1067.8764";"93.04";"-0.28";"203.93";"3604.9";"1147.7026";"11686.85";"19911.83";"1043.5777";"70.1674"
"C";"2024-11-10";"2024-11-11";"1071.1242";"93.33";"-0.21";"333.56";"2692.7";"1147.7026";"11686.29";"19913.28";"1043.5843";"69.6634"
"E";"2024-11-09";"2024-11-10";"1073.5011";"93.53";"-0.23";"315.56";"2898.2";"1147.7026";"11685.68";"19914.9";"1043.5843";"69.0876"
"C";"2024-11-08";"2024-11-09";"1076.1116";"93.76";"-0.3";"209.98";"3663.9";"1147.7026";"11684.83";"19917.15";"1043.0372";"68.1686"
"C";"2024-11-07";"2024-11-08";"1079.5825";"94.06";"-0.34";"80.78";"4162.9";"1147.7026";"11683.94";"19919.5";"1042.9949";"67.7544"
"C";"2024-11-06";"2024-11-07";"1083.5078";"94.41";"-0.33";"143.19";"3916.7";"1147.7026";"11679.81";"19915.74";"1042.9952";"67.338"
"C";"2024-11-05";"2024-11-06";"1087.2813";"94.74";"-0.27";"152.57";"3234";"1147.7026";"11682.89";"19921.55";"1042.9187";"66.788"
"C";"2024-11-04";"2024-11-05";"1090.3432";"95";"-0.2";"266.73";"2506.6";"1147.7026";"11682.35";"19922.97";"1043.0252";"66.216"
"E";"2024-11-03";"2024-11-04";"1092.5872";"95.2";"-0.03";"829.06";"1108.7";"1147.7026";"11706.64";"19922.22";"1042.8212";"66.047"
