Date,T_mean_EU,HDD
2015-01-01,2.4000,15.6000
2015-01-02,4.6300,13.3700
2015-01-03,3.4150,14.5850
2015-01-04,3.4200,14.5800
2015-01-05,2.1850,15.8150
2015-01-06,1.4600,16.5400
2015-01-07,2.7350,15.2650
2015-01-08,6.1600,11.8400
2015-01-09,8.2300,9.7700
2015-01-10,10.2450,7.7550
2015-01-11,5.1250,12.8750
2015-01-12,6.8350,11.1650
2015-01-13,8.0600,9.9400
2015-01-14,5.3450,12.6550
2015-01-15,7.1000,10.9000
2015-01-16,5.8450,12.1550
2015-01-17,2.8650,15.1350
2015-01-18,1.5300,16.4700
2015-01-19,1.1550,16.8450
2015-01-20,0.6350,17.3650
2015-01-21,0.9650,17.0350
2015-01-22,0.9450,17.0550
2015-01-23,0.6550,17.3450
2015-01-24,1.7950,16.2050
2015-01-25,2.4650,15.5350
2015-01-26,4.1200,13.8800
2015-01-27,3.5850,14.4150
2015-01-28,4.0250,13.9750
2015-01-29,2.2100,15.7900
2015-01-30,1.6600,16.3400
2015-01-31,1.3150,16.6850
2015-02-01,1.4550,16.5450
2015-02-02,0.7250,17.2750
2015-02-03,0.3550,17.6450
2015-02-04,0.1200,17.8800
2015-02-05,-0.4800,18.4800
2015-02-06,-0.2400,18.2400
2015-02-07,0.6800,17.3200
2015-02-08,3.0000,15.0000
2015-02-09,2.6900,15.3100
2015-02-10,4.1100,13.8900
2015-02-11,3.0350,14.9650
2015-02-12,1.7800,16.2200
2015-02-13,3.5350,14.4650
2015-02-14,4.4400,13.5600
2015-02-15,3.4200,14.5800
2015-02-16,3.4950,14.5050
2015-02-17,3.7650,14.2350
2015-02-18,2.9350,15.0650
2015-02-19,3.1550,14.8450
2015-02-20,4.8500,13.1500
2015-02-21,3.8750,14.1250
2015-02-22,2.7650,15.2350
2015-02-23,4.4400,13.5600
2015-02-24,4.4700,13.5300
2015-02-25,4.4100,13.5900
2015-02-26,6.1050,11.8950
2015-02-27,4.1250,13.8750
2015-02-28,4.0300,13.9700
2015-03-01,7.1300,10.8700
2015-03-02,6.1400,11.8600
2015-03-03,4.9850,13.0150
2015-03-04,4.4450,13.5550
2015-03-05,4.6850,13.3150
2015-03-06,4.7850,13.2150
2015-03-07,5.8050,12.1950
2015-03-08,7.0700,10.9300
2015-03-09,7.2200,10.7800
2015-03-10,6.9400,11.0600
2015-03-11,5.8150,12.1850
2015-03-12,5.8350,12.1650
2015-03-13,5.3100,12.6900
2015-03-14,4.8000,13.2000
2015-03-15,5.5650,12.4350
2015-03-16,6.3800,11.6200
2015-03-17,7.7650,10.2350
2015-03-18,8.0850,9.9150
2015-03-19,7.5950,10.4050
2015-03-20,7.4550,10.5450
2015-03-21,6.0500,11.9500
2015-03-22,5.5600,12.4400
2015-03-23,5.3500,12.6500
2015-03-24,6.8300,11.1700
2015-03-25,7.0400,10.9600
2015-03-26,5.9350,12.0650
2015-03-27,7.2450,10.7550
2015-03-28,8.1100,9.8900
2015-03-29,10.0700,7.9300
2015-03-30,8.5500,9.4500
2015-03-31,9.9200,8.0800
2015-04-01,6.7850,11.2150
2015-04-02,6.8900,11.1100
2015-04-03,6.9900,11.0100
2015-04-04,6.2800,11.7200
2015-04-05,5.6800,12.3200
2015-04-06,6.1350,11.8650
2015-04-07,7.1550,10.8450
2015-04-08,8.7600,9.2400
2015-04-09,10.4900,7.5100
2015-04-10,12.1150,5.8850
2015-04-11,11.0500,6.9500
2015-04-12,10.7000,7.3000
2015-04-13,10.7800,7.2200
